;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Median Age;Distance To Ocean;Metropolitan Areas;Large cities;Coastal Locations
115;Carcavelos e Parede, Lisboa;760000.0;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
116;Carcavelos e Parede, Lisboa;665000.0;2.0;2.0;88.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
117;Carcavelos e Parede, Lisboa;675000.0;2.0;2.0;94.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
118;Feira Nova, Amares;170000.0;3.0;3.0;183.0;190.0;1.0;1.0;Energy Performance Certificate;False;False;46.0;37.558310061098375;False;False;False
120;Olivais Sul, Lisboa;370000.0;4.0;2.0;124.0;124.0;1.0;1.0;Energy Performance Certificate;False;True;44.8;16.764544907684343;True;True;False
122;Monte Gordo, Vila Real de Santo António;220000.0;1.0;1.0;33.0;40.0;0.0;;Not available;True;False;48.5;;False;False;False
123;Serralves, Porto;245000.0;1.0;2.0;82.0;111.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;1.600637756201105;True;True;True
124;Valongo, Porto;138500.0;1.0;1.0;59.0;75.0;1.0;0.0;Energy Performance Certificate;False;False;47.0;15.317228097109272;True;True;True
125;Monte Gordo, Vila Real de Santo António;270000.0;1.0;1.0;40.0;50.0;0.0;;Not available;True;False;48.5;;False;False;False
126;Sto. Ant. Charneca / Cidade Sol, Barreiro;153000.0;2.0;1.0;68.0;72.0;0.0;;Not available;True;False;47.0;17.334350389411913;False;False;False
127;Montijo e Afonsoeiro, Setúbal;345000.0;3.0;2.0;100.0;123.0;1.0;1.0;Energy Performance Certificate;False;False;42.6;;True;True;False
128;Montijo e Afonsoeiro, Setúbal;345000.0;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;42.6;;True;True;False
129;Nacional 1, Santa Maria da Feira;162000.0;3.0;2.0;125.0;125.0;1.0;1.0;Energy Performance Certificate;False;False;47.1;12.005532386379128;False;False;False
130;Montijo e Afonsoeiro, Setúbal;350000.0;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;42.6;;True;True;False
131;Montijo e Afonsoeiro, Setúbal;350000.0;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;42.6;;True;True;False
132;Damaia de Cima, Amadora;169000.0;2.0;1.0;67.0;70.0;0.0;;Not available;True;False;44.1;8.04128418433145;True;True;False
133;Marinha Grande, Leiria;165000.0;3.0;2.0;95.0;127.0;1.0;1.0;Not available;True;False;46.4;46.65688543804384;False;False;False
134;Montijo e Afonsoeiro, Setúbal;355000.0;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;42.6;;True;True;False
135;Venteira, Lisboa;385000.0;3.0;2.0;130.0;155.0;2.0;1.0;Not available;False;True;44.8;8.043986468943439;True;True;False
136;Vila do Conde, Porto;415000.0;3.0;3.0;135.0;135.0;1.0;3.0;Not available;True;False;47.0;18.041941849848865;True;True;True
137;Praia da Rocha, Portimão;170000.0;1.0;1.0;41.0;46.0;0.0;;Not available;True;False;45.5;;False;False;True
138;Montijo e Afonsoeiro, Setúbal;355000.0;3.0;2.0;100.0;123.0;0.0;;Not available;True;False;42.6;;True;True;False
139;Campo de Ourique, Lisboa;690000.0;3.0;3.0;107.0;114.0;0.0;;Not available;True;True;44.8;10.281507683662497;True;True;False
140;Amial, Porto;200000.0;1.0;1.0;63.0;63.0;1.0;4.0;Energy Performance Certificate;False;False;47.0;6.241425648256122;True;True;True
141;Tortosendo, Castelo Branco;88000.0;3.0;1.0;116.0;155.0;0.0;;Not available;True;False;50.5;116.42054206086694;False;False;False
142;Bairro dos Actores, Lisboa;270000.0;3.0;1.0;71.0;90.0;0.0;;Not available;True;True;44.8;11.879567368245146;True;True;False
143;Feijó, Almada;255000.0;1.0;1.0;71.0;92.0;1.0;3.0;Not available;False;False;46.3;;True;False;False
144;Marco, Porto;158000.0;1.0;1.0;90.0;90.0;1.0;0.0;Not available;True;False;47.0;;True;True;True
145;Vilar de Andorinho, Vila Nova de Gaia;128000.0;1.0;1.0;57.0;68.0;0.0;;Not available;True;False;46.8;6.1107414726810445;True;True;False
146;Conde I, Sesimbra;160000.0;1.0;1.0;61.0;61.0;0.0;;Not available;True;False;44.8;25.06232106442331;False;False;True
147;Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;138000.0;3.0;2.0;123.0;123.0;0.0;;Not available;True;False;51.4;;False;False;True
148;Cascais e Estoril, Lisboa;275000.0;1.0;1.0;41.0;52.0;0.0;;Not available;True;True;46.9;0.0;True;True;True
149;Paçô, Viana do Castelo;167000.0;2.0;2.0;89.0;89.0;1.0;;Not available;True;False;48.8;;False;False;True
150;Lagoa e Carvoeiro, Faro;290000.0;2.0;1.0;85.0;85.0;0.0;;Not available;True;False;45.7;9.478291520192403;False;False;True
151;Pedra Mourinha, Portimão;159000.0;2.0;1.0;64.0;83.0;0.0;;Not available;True;False;45.5;;False;False;True
152;Santa Maria Maior, Vila Real;229900.0;3.0;3.0;128.0;136.0;2.0;4.0;Energy Performance Certificate;False;False;48.5;111.03437456662984;False;False;False
153;Peniche, Peniche;275000.0;2.0;1.0;67.0;100.0;0.0;;Not available;True;False;47.9;4.690487960994953;False;False;True
154;Monte Gordo, Vila Real de Santo António;249000.0;2.0;2.0;60.0;67.0;0.0;;Not available;True;False;48.5;;False;False;False
155;Venteira, Amadora;160000.0;3.0;1.0;72.0;84.0;0.0;;Not available;True;False;44.1;8.931660920362937;True;True;False
156;Venteira, Amadora;160000.0;3.0;1.0;72.0;77.0;0.0;;Not available;True;False;44.1;8.931660920362937;True;True;False
157;Venteira, Amadora;160000.0;3.0;1.0;65.0;72.0;0.0;;Not available;True;False;44.1;8.931660920362937;True;True;False
158;Loures, Loures;249000.0;1.0;1.0;71.0;86.0;1.0;2.0;Energy Performance Certificate;False;False;44.6;18.34297673814834;False;False;False
159;Buarcos e São Julião, Coimbra;205000.0;3.0;2.0;91.0;120.0;1.0;1.0;Not available;True;False;48.3;;False;True;False
160;Venteira, Amadora;160000.0;3.0;1.0;74.0;83.0;0.0;;Not available;True;False;44.1;8.931660920362937;True;True;False
161;Matosinhos Sul, Matosinhos;485000.0;1.0;1.0;98.0;118.0;1.0;0.0;Energy Performance Certificate;False;False;47.5;3.363446065416691;True;False;False
162;Campo de Ourique, Lisboa;415000.0;2.0;1.0;72.0;79.0;0.0;;Not available;True;True;44.8;10.281507683662497;True;True;False
163;Santa Maria Maior, Lisboa;199000.0;0.0;1.0;30.0;32.0;0.0;;Not available;True;True;44.8;11.287008909067405;True;True;False
164;Ajuda, Lisboa;320000.0;1.0;1.0;48.0;61.0;0.0;;Not available;True;True;44.8;8.01873198559227;True;True;False
165;Baguim do Monte - Igreja, Gondomar;180000.0;2.0;1.0;89.0;101.0;1.0;3.0;Energy Performance Certificate;False;False;47.1;12.02824006740557;True;False;False
166;Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;193000.0;3.0;2.0;106.0;129.0;2.0;1.0;Not available;True;False;48.5;;False;False;True
167;Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;314900.0;3.0;2.0;95.0;110.0;0.0;;Not available;True;False;46.3;;True;True;False
168;Fluvial, Porto;335000.0;3.0;2.0;87.0;99.0;0.0;5.0;Energy Performance Certificate;False;False;47.0;1.5893000574731893;True;True;True
169;Ramalha/Centro Sul, Almada;329000.0;3.0;2.0;80.0;89.0;1.0;3.0;Energy Performance Certificate;False;False;46.3;6.5442293262447695;True;False;False
170;Peniche, Peniche;195000.0;2.0;1.0;74.0;103.0;0.0;;Not available;True;False;47.9;4.690487960994953;False;False;True
171;CARRIÇO, Pombal;175000.0;3.0;2.0;147.0;204.0;2.0;3.0;Not available;True;False;50.6;;False;False;False
172;Canidelo, Porto;619000.0;2.0;2.0;98.0;152.0;2.0;4.0;Energy Performance Certificate;False;False;47.0;3.964557675534072;True;True;True
174;Gulpilhares e Valadares, Porto;175000.0;3.0;2.0;103.0;103.0;1.0;2.0;Not available;True;False;47.0;7.203684078768482;True;True;True
175;S.Cosme, Gondomar;125000.0;1.0;1.0;60.0;65.0;0.0;;Not available;True;False;47.1;12.260657705282714;True;False;False
176;Consolação, Peniche;270000.0;2.0;1.0;72.0;114.0;1.0;1.0;Energy Performance Certificate;False;False;47.9;;False;False;True
177;S.Cosme, Gondomar;135000.0;2.0;1.0;70.0;80.0;0.0;;Not available;True;False;47.1;12.260657705282714;True;False;False
178;Laranjeiro, Almada;198000.0;3.0;2.0;89.0;100.0;0.0;;Not available;True;False;46.3;6.907300997076936;True;False;False
179;Santa Marinha e São Pedro da Afurada, Porto;469000.0;3.0;3.0;120.0;127.0;2.0;8.0;Energy Performance Certificate;False;False;47.0;;True;True;True
180;Braga (São Vítor), Braga;158000.0;2.0;2.0;97.0;98.0;0.0;2.0;Not available;True;False;44.4;;False;True;False
181;São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;209000.0;2.0;1.0;85.0;85.0;0.0;;Not available;True;False;46.6;;True;True;False
182;A dos Cunhados e Maceira, Lisboa;240000.0;2.0;1.0;85.0;104.0;2.0;0.0;Not available;True;True;44.8;20.37219495500167;True;True;False
183;Praia, Póvoa de Varzim;359000.0;3.0;2.0;114.0;114.0;1.0;6.0;Energy Performance Certificate;False;False;45.8;;True;False;False
184;Amparo, Funchal;230000.0;2.0;1.0;67.0;103.0;1.0;3.0;Energy Performance Certificate;False;False;48.0;913.8914113556772;False;True;False
185;Canidelo, Porto;229000.0;3.0;2.0;119.0;119.0;1.0;5.0;Not available;True;False;47.0;3.964557675534072;True;True;True
186;Covilhã e Canhoso, Castelo Branco;110000.0;3.0;2.0;95.0;;0.0;;Not available;True;False;50.5;;False;False;False
187;São Carlos, Sintra;170000.0;3.0;2.0;76.0;96.0;0.0;;Not available;True;False;43.7;;False;False;False
188;Vila Nova de Famalicão e Calendário, Braga;227500.0;2.0;2.0;80.0;80.0;1.0;3.0;Not available;True;False;44.4;;False;True;False
189;Quinta da Cavaleira, Sintra;270000.0;2.0;1.0;;;0.0;;Not available;True;False;43.7;9.930455771462956;False;False;False
190;Praça Rainha D. Amélia, Porto;265500.0;3.0;2.0;77.0;77.0;0.0;;Not available;True;False;47.0;;True;True;True
191;Praça Rainha D. Amélia, Porto;245500.0;3.0;2.0;74.0;74.0;0.0;;Not available;True;False;47.0;;True;True;True
193;Parada de Cunhos, Vila Real;180000.0;3.0;2.0;96.0;107.0;1.0;0.0;Not available;True;False;48.5;77.73470105960968;False;False;False
194;Antas, Porto;190000.0;1.0;1.0;63.0;63.0;0.0;;Not available;True;False;47.0;7.2903817058845535;True;True;True
195;Conceição, Faro;280000.0;4.0;3.0;95.0;;0.0;;Not available;True;False;45.7;;False;False;True
196;Guarda, Guarda;180000.0;2.0;2.0;90.0;108.0;3.0;0.0;Energy Performance Certificate;False;False;49.6;;False;False;False
197;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;280000.0;2.0;1.0;73.0;80.0;0.0;;Not available;True;True;44.8;;True;True;False
198;Vilar de Andorinho, Porto;165000.0;2.0;1.0;93.0;108.0;0.0;;Not available;True;False;47.0;9.040445271973669;True;True;True
199;Quarteira, Faro;262500.0;2.0;1.0;100.0;97.0;1.0;1.0;Not available;True;False;45.7;38.86920377587499;False;False;True
200;Castanheira do Ribatejo e Cachoeiras, Lisboa;164900.0;3.0;2.0;105.0;112.0;0.0;4.0;Energy Performance Certificate;False;True;44.8;42.97979712748262;True;True;False
201;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;352000.0;3.0;2.0;95.0;120.0;0.0;;Not available;True;True;44.8;;True;True;False
202;Madredeus, Lisboa;275000.0;2.0;1.0;95.0;95.0;0.0;;Not available;True;True;44.8;14.386965306890488;True;True;False
203;São Cosme Zona 1, Gondomar;152500.0;2.0;1.0;88.0;88.0;0.0;1.0;Not available;True;False;47.1;;True;False;False
204;Nossa Senhora da Piedade, Santarém;241000.0;4.0;3.0;217.0;117.0;2.0;3.0;Not available;False;False;48.3;;False;False;False
205;Malveira, Mafra;265000.0;2.0;1.0;106.0;134.0;1.0;2.0;Energy Performance Certificate;False;False;43.8;20.251576795931044;False;False;False
206;Cascais e Estoril, Lisboa;80000.0;0.0;1.0;42.0;44.0;0.0;;Not available;True;True;46.9;0.0;True;True;True
207;Chã, Figueira da Foz;295000.0;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;50.9;;False;False;True
208;Chã, Figueira da Foz;290000.0;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;50.9;;False;False;True
209;Palmela, Setúbal;185000.0;2.0;1.0;80.0;94.0;0.0;;Not available;True;False;45.3;;True;True;False
210;Chã, Figueira da Foz;285000.0;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;50.9;;False;False;True
211;Chã, Figueira da Foz;280000.0;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;50.9;;False;False;True
212;Chã, Figueira da Foz;285000.0;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;50.9;;False;False;True
213;Chã, Figueira da Foz;265000.0;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;50.9;;False;False;True
