Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Median Age;Distance To Ocean;Metropolitan Areas;Large cities;Coastal Locations
Urb. Colinas do Cruzeiro, Odivelas;355.000;2.0;2.0;100.0;100.0;2.0;3.0;Not available;False;False;43,7;13.329541033993166;False;False;False
Marco, Porto;252.000;3.0;2.0;149.0;149.0;1.0;2.0;Not available;True;False;47;;True;True;True
Marco, Porto;189.000;2.0;2.0;;;1.0;2.0;Not available;True;False;47;;True;True;True
Marco, Porto;189.000;2.0;2.0;92.0;92.0;1.0;1.0;Not available;True;False;47;;True;True;True
Marco, Porto;179.000;2.0;2.0;92.0;92.0;1.0;0.0;Not available;True;False;47;;True;True;True
Parque das Nações - Expo Sul, Lisboa;850.000;3.0;3.0;182.0;182.0;2.0;3.0;Energy Performance Certificate;False;True;44,8;;True;True;False
Almancil, Faro;310.000;3.0;2.0;121.0;157.0;2.0;3.0;Energy Performance Certificate;False;False;45,7;45.029324235011714;False;False;True
Moncarapacho e Fuseta, Faro;795.000;2.0;2.0;104.0;122.0;2.0;0.0;Not available;True;False;45,7;66.48155661272949;False;False;True
Pinheiro da Bemposta, Oliveira de Azeméis;200.000;3.0;2.0;108.0;130.0;1.0;0.0;Not available;True;False;48,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;2.0;3.0;101.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;2.0;3.0;90.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;155.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;148.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;154.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;146.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;156.0;;;;Not available;True;False;51,5;;False;False;False
Lamego (Almacave e Sé), Viseu;Under Consultation;1.0;1.0;52.0;;;;Not available;True;False;51,5;;False;False;False
Bonfim, Porto;145.000;1.0;1.0;33.0;33.0;;;Not available;True;False;47;6.7467861436355925;True;True;True
Sátão, Sátão;47.000;3.0;2.0;143.0;149.0;;;Not available;True;False;52,1;;False;False;False
Avenidas Novas, Lisboa;305.000;3.0;1.0;85.0;94.0;;;Not available;True;True;44,8;13.13200174110294;True;True;False
Gaeiras, Óbidos;199.000;3.0;2.0;101.0;144.0;2.0;2.0;Not available;True;False;48,9;;False;False;True
Caparica e Trafaria, Setúbal;203.000;2.0;1.0;70.0;73.0;1.0;2.0;Energy Performance Certificate;False;False;46,6;;True;True;False
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;318.000;3.0;1.0;116.0;116.0;;;Not available;True;True;44,8;;True;True;False
Funchal (Sé), Ilha da Madeira;680.000;3.0;3.0;;;;;Not available;True;False;48;;False;True;False
Olivais, Lisboa;269.000;3.0;1.0;85.0;85.0;;;Not available;True;True;44,8;16.354114399684835;True;True;False
Alverca do Ribatejo e Sobralinho, Lisboa;167.500;2.0;1.0;66.0;78.0;;;Not available;True;True;44,8;31.586921632511352;True;True;False
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;220.000;3.0;2.0;130.0;130.0;1.0;;Not available;True;False;55,4;37.760974591008114;False;False;True
Miraflores, Oeiras;575.000;3.0;2.0;143.0;143.0;2.0;1.0;Energy Performance Certificate;False;False;51,2;5.266317011716827;False;False;False
Vale de Estacas, Santarém;230.000;3.0;2.0;111.0;111.0;;;Not available;True;False;48,3;;False;False;False
Santa Catarina, Porto;125.000;1.0;2.0;62.0;88.0;;;Not available;True;False;47;5.854324595561659;True;True;True
Alhos Vedros, Setúbal;188.000;3.0;2.0;88.0;102.0;;;Not available;True;False;46,6;;True;True;False
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;420.000;2.0;2.0;91.0;102.0;1.0;12.0;Energy Performance Certificate;False;True;44,8;;True;True;False
Odivelas, Lisboa;Under Consultation;2.0;1.0;75.0;83.0;;;Not available;True;True;44,8;14.328217649455674;True;True;False
Parque das Nações - Expo Norte, Lisboa;575.000;2.0;2.0;143.0;143.0;2.0;7.0;Not available;True;True;44,8;;True;True;False
Meadela, Viana do Castelo;270.000;3.0;2.0;134.0;134.0;1.0;1.0;Energy Performance Certificate;False;False;48,8;2.977748395962253;False;False;True
Carcavelos e Parede, Lisboa;225.000;2.0;1.0;80.0;142.0;;;Not available;True;True;44,8;4.479612964151894;True;True;False
Massamá e Monte Abraão, Lisboa;239.900;3.0;2.0;86.0;102.0;;;Not available;True;True;44,8;;True;True;False
Carcavelos e Parede, Lisboa;1.250.000;3.0;3.0;117.0;130.0;1.0;6.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;1.220.000;3.0;3.0;117.0;130.0;1.0;6.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;820.000;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;810.000;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;800.000;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;790.000;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;790.000;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;780.000;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;780.000;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;770.000;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;770.000;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;760.000;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;665.000;2.0;2.0;88.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Carcavelos e Parede, Lisboa;675.000;2.0;2.0;94.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;44,8;4.479612964151894;True;True;False
Feira Nova, Amares;170.000;3.0;3.0;183.0;190.0;1.0;1.0;Energy Performance Certificate;False;False;46;37.558310061098375;False;False;False
Praia da Rocha, Portimão;Under Consultation;1.0;1.0;44.0;52.0;;;Not available;True;False;45,5;;False;False;True
Olivais Sul, Lisboa;370.000;4.0;2.0;124.0;124.0;1.0;1.0;Energy Performance Certificate;False;True;44,8;16.764544907684343;True;True;False
São Félix da Marinha, Vila Nova de Gaia;Under Consultation;2.0;2.0;100.0;104.0;2.0;1.0;Energy Performance Certificate;False;False;46,8;;True;True;False
Monte Gordo, Vila Real de Santo António;220.000;1.0;1.0;33.0;40.0;;;Not available;True;False;48,5;;False;False;False
Serralves, Porto;245.000;1.0;2.0;82.0;111.0;1.0;2.0;Energy Performance Certificate;False;False;47;1.600637756201105;True;True;True
Valongo, Porto;138.500;1.0;1.0;59.0;75.0;1.0;0.0;Energy Performance Certificate;False;False;47;15.317228097109272;True;True;True
Monte Gordo, Vila Real de Santo António;270.000;1.0;1.0;40.0;50.0;;;Not available;True;False;48,5;;False;False;False
Sto. Ant. Charneca / Cidade Sol, Barreiro;153.000;2.0;1.0;68.0;72.0;;;Not available;True;False;47;17.334350389411913;False;False;False
Montijo e Afonsoeiro, Setúbal;345.000;3.0;2.0;100.0;123.0;1.0;1.0;Energy Performance Certificate;False;False;42,6;;True;True;False
Montijo e Afonsoeiro, Setúbal;345.000;3.0;2.0;100.0;123.0;;;Not available;True;False;42,6;;True;True;False
Nacional 1, Santa Maria da Feira;162.000;3.0;2.0;125.0;125.0;1.0;1.0;Energy Performance Certificate;False;False;47,1;12.005532386379128;False;False;False
Montijo e Afonsoeiro, Setúbal;350.000;3.0;2.0;100.0;123.0;;;Not available;True;False;42,6;;True;True;False
Montijo e Afonsoeiro, Setúbal;350.000;3.0;2.0;100.0;123.0;;;Not available;True;False;42,6;;True;True;False
Damaia de Cima, Amadora;169.000;2.0;1.0;67.0;70.0;;;Not available;True;False;44,1;8.04128418433145;True;True;False
Marinha Grande, Leiria;165.000;3.0;2.0;95.0;127.0;1.0;1.0;Not available;True;False;46,4;46.65688543804384;False;False;False
Montijo e Afonsoeiro, Setúbal;355.000;3.0;2.0;100.0;123.0;;;Not available;True;False;42,6;;True;True;False
Venteira, Lisboa;385.000;3.0;2.0;130.0;155.0;2.0;1.0;Not available;False;True;44,8;8.043986468943439;True;True;False
Vila do Conde, Porto;415.000;3.0;3.0;135.0;135.0;1.0;3.0;Not available;True;False;47;18.041941849848865;True;True;True
Praia da Rocha, Portimão;170.000;1.0;1.0;41.0;46.0;;;Not available;True;False;45,5;;False;False;True
Montijo e Afonsoeiro, Setúbal;355.000;3.0;2.0;100.0;123.0;;;Not available;True;False;42,6;;True;True;False
Campo de Ourique, Lisboa;690.000;3.0;3.0;107.0;114.0;;;Not available;True;True;44,8;10.281507683662497;True;True;False
Amial, Porto;200.000;1.0;1.0;63.0;63.0;1.0;4.0;Energy Performance Certificate;False;False;47;6.241425648256122;True;True;True
Tortosendo, Castelo Branco;88.000;3.0;1.0;116.0;155.0;;;Not available;True;False;50,5;116.42054206086694;False;False;False
Bairro dos Actores, Lisboa;270.000;3.0;1.0;71.0;90.0;;;Not available;True;True;44,8;11.879567368245146;True;True;False
Feijó, Almada;255.000;1.0;1.0;71.0;92.0;1.0;3.0;Not available;False;False;46,3;;True;False;False
Marco, Porto;158.000;1.0;1.0;90.0;90.0;1.0;0.0;Not available;True;False;47;;True;True;True
Vilar de Andorinho, Vila Nova de Gaia;128.000;1.0;1.0;57.0;68.0;;;Not available;True;False;46,8;6.1107414726810445;True;True;False
Conde I, Sesimbra;160.000;1.0;1.0;61.0;61.0;;;Not available;True;False;44,8;25.06232106442331;False;False;True
Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;138.000;3.0;2.0;123.0;123.0;;;Not available;True;False;51,4;;False;False;True
Cascais e Estoril, Lisboa;275.000;1.0;1.0;41.0;52.0;;;Not available;True;True;46,9;0.0;True;True;True
Paçô, Viana do Castelo;167.000;2.0;2.0;89.0;89.0;1.0;;Not available;True;False;48,8;;False;False;True
Lagoa e Carvoeiro, Faro;290.000;2.0;1.0;85.0;85.0;;;Not available;True;False;45,7;9.478291520192403;False;False;True
Pedra Mourinha, Portimão;159.000;2.0;1.0;64.0;83.0;;;Not available;True;False;45,5;;False;False;True
Santa Maria Maior, Vila Real;229.900;3.0;3.0;128.0;136.0;2.0;4.0;Energy Performance Certificate;False;False;48,5;111.03437456662984;False;False;False
Peniche, Peniche;275.000;2.0;1.0;67.0;100.0;;;Not available;True;False;47,9;4.690487960994953;False;False;True
Monte Gordo, Vila Real de Santo António;249.000;2.0;2.0;60.0;67.0;;;Not available;True;False;48,5;;False;False;False
Venteira, Amadora;160.000;3.0;1.0;72.0;84.0;;;Not available;True;False;44,1;8.931660920362937;True;True;False
Venteira, Amadora;160.000;3.0;1.0;72.0;77.0;;;Not available;True;False;44,1;8.931660920362937;True;True;False
Venteira, Amadora;160.000;3.0;1.0;65.0;72.0;;;Not available;True;False;44,1;8.931660920362937;True;True;False
Loures, Loures;249.000;1.0;1.0;71.0;86.0;1.0;2.0;Energy Performance Certificate;False;False;44,6;18.34297673814834;False;False;False
Buarcos e São Julião, Coimbra;205.000;3.0;2.0;91.0;120.0;1.0;1.0;Not available;True;False;48,3;;False;True;False
Venteira, Amadora;160.000;3.0;1.0;74.0;83.0;;;Not available;True;False;44,1;8.931660920362937;True;True;False
Matosinhos Sul, Matosinhos;485.000;1.0;1.0;98.0;118.0;1.0;0.0;Energy Performance Certificate;False;False;47,5;3.363446065416691;True;False;False
Campo de Ourique, Lisboa;415.000;2.0;1.0;72.0;79.0;;;Not available;True;True;44,8;10.281507683662497;True;True;False
Santa Maria Maior, Lisboa;199.000;0.0;1.0;30.0;32.0;;;Not available;True;True;44,8;11.287008909067405;True;True;False
Ajuda, Lisboa;320.000;1.0;1.0;48.0;61.0;;;Not available;True;True;44,8;8.01873198559227;True;True;False
Baguim do Monte - Igreja, Gondomar;180.000;2.0;1.0;89.0;101.0;1.0;3.0;Energy Performance Certificate;False;False;47,1;12.02824006740557;True;False;False
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;193.000;3.0;2.0;106.0;129.0;2.0;1.0;Not available;True;False;48,5;;False;False;True
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;314.900;3.0;2.0;95.0;110.0;;;Not available;True;False;46,3;;True;True;False
Fluvial, Porto;335.000;3.0;2.0;87.0;99.0;0.0;5.0;Energy Performance Certificate;False;False;47;1.5893000574731893;True;True;True
Ramalha/Centro Sul, Almada;329.000;3.0;2.0;80.0;89.0;1.0;3.0;Energy Performance Certificate;False;False;46,3;6.5442293262447695;True;False;False
Peniche, Peniche;195.000;2.0;1.0;74.0;103.0;;;Not available;True;False;47,9;4.690487960994953;False;False;True
CARRIÇO, Pombal;175.000;3.0;2.0;147.0;204.0;2.0;3.0;Not available;True;False;50,6;;False;False;False
Canidelo, Porto;619.000;2.0;2.0;98.0;152.0;2.0;4.0;Energy Performance Certificate;False;False;47;3.964557675534072;True;True;True
Santo António dos Cavaleiros e Frielas, Lisboa;255.000;;;;;;7.0;Not available;False;True;44,8;;True;True;False
Gulpilhares e Valadares, Porto;175.000;3.0;2.0;103.0;103.0;1.0;2.0;Not available;True;False;47;7.203684078768482;True;True;True
S.Cosme, Gondomar;125.000;1.0;1.0;60.0;65.0;;;Not available;True;False;47,1;12.260657705282714;True;False;False
Consolação, Peniche;270.000;2.0;1.0;72.0;114.0;1.0;1.0;Energy Performance Certificate;False;False;47,9;;False;False;True
S.Cosme, Gondomar;135.000;2.0;1.0;70.0;80.0;;;Not available;True;False;47,1;12.260657705282714;True;False;False
Laranjeiro, Almada;198.000;3.0;2.0;89.0;100.0;;;Not available;True;False;46,3;6.907300997076936;True;False;False
Santa Marinha e São Pedro da Afurada, Porto;469.000;3.0;3.0;120.0;127.0;2.0;8.0;Energy Performance Certificate;False;False;47;;True;True;True
Braga (São Vítor), Braga;158.000;2.0;2.0;97.0;98.0;0.0;2.0;Not available;True;False;44,4;;False;True;False
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;209.000;2.0;1.0;85.0;85.0;;;Not available;True;False;46,6;;True;True;False
A dos Cunhados e Maceira, Lisboa;240.000;2.0;1.0;85.0;104.0;2.0;0.0;Not available;True;True;44,8;20.37219495500167;True;True;False
Praia, Póvoa de Varzim;359.000;3.0;2.0;114.0;114.0;1.0;6.0;Energy Performance Certificate;False;False;45,8;;True;False;False
Amparo, Funchal;230.000;2.0;1.0;67.0;103.0;1.0;3.0;Energy Performance Certificate;False;False;48;913.8914113556772;False;True;False
Canidelo, Porto;229.000;3.0;2.0;119.0;119.0;1.0;5.0;Not available;True;False;47;3.964557675534072;True;True;True
Covilhã e Canhoso, Castelo Branco;110.000;3.0;2.0;95.0;;;;Not available;True;False;50,5;;False;False;False
São Carlos, Sintra;170.000;3.0;2.0;76.0;96.0;;;Not available;True;False;43,7;;False;False;False
Vila Nova de Famalicão e Calendário, Braga;227.500;2.0;2.0;80.0;80.0;1.0;3.0;Not available;True;False;44,4;;False;True;False
Quinta da Cavaleira, Sintra;270.000;2.0;;;;;;Not available;True;False;43,7;9.930455771462956;False;False;False
Praça Rainha D. Amélia, Porto;265.500;3.0;2.0;77.0;77.0;;;Not available;True;False;47;;True;True;True
Praça Rainha D. Amélia, Porto;245.500;3.0;2.0;74.0;74.0;;;Not available;True;False;47;;True;True;True
Santos, Lisboa, Lisboa;Under Consultation;2.0;1.0;36.0;36.0;;;Not available;True;True;44,8;9.610404018144948;True;True;False
Parada de Cunhos, Vila Real;180.000;3.0;2.0;96.0;107.0;1.0;0.0;Not available;True;False;48,5;77.73470105960968;False;False;False
Antas, Porto;190.000;1.0;1.0;63.0;63.0;;;Not available;True;False;47;7.2903817058845535;True;True;True
Conceição, Faro;280.000;4.0;3.0;95.0;;;;Not available;True;False;45,7;;False;False;True
Guarda, Guarda;180.000;2.0;2.0;90.0;108.0;3.0;0.0;Energy Performance Certificate;False;False;49,6;;False;False;False
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;280.000;2.0;1.0;73.0;80.0;;;Not available;True;True;44,8;;True;True;False
Vilar de Andorinho, Porto;165.000;2.0;1.0;93.0;108.0;;;Not available;True;False;47;9.040445271973669;True;True;True
Quarteira, Faro;262.500;2.0;1.0;100.0;97.0;1.0;1.0;Not available;True;False;45,7;38.86920377587499;False;False;True
Castanheira do Ribatejo e Cachoeiras, Lisboa;164.900;3.0;2.0;105.0;112.0;0.0;4.0;Energy Performance Certificate;False;True;44,8;42.97979712748262;True;True;False
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;352.000;3.0;2.0;95.0;120.0;;;Not available;True;True;44,8;;True;True;False
Madredeus, Lisboa;275.000;2.0;1.0;95.0;95.0;;;Not available;True;True;44,8;14.386965306890488;True;True;False
São Cosme Zona 1, Gondomar;152.500;2.0;1.0;88.0;88.0;0.0;1.0;Not available;True;False;47,1;;True;False;False
Nossa Senhora da Piedade, Santarém;241.000;4.0;3.0;217.0;117.0;2.0;3.0;Not available;False;False;48,3;;False;False;False
Malveira, Mafra;265.000;2.0;1.0;106.0;134.0;1.0;2.0;Energy Performance Certificate;False;False;43,8;20.251576795931044;False;False;False
Cascais e Estoril, Lisboa;80.000;0.0;1.0;42.0;44.0;;;Not available;True;True;46,9;0.0;True;True;True
Chã, Figueira da Foz;295.000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;50,9;;False;False;True
Chã, Figueira da Foz;290.000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;50,9;;False;False;True
Palmela, Setúbal;185.000;2.0;1.0;80.0;94.0;;;Not available;True;False;45,3;;True;True;False
Chã, Figueira da Foz;285.000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;50,9;;False;False;True
