Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age
Matosinhos e Leça da Palmeira, Porto;210.000;0.0;1.0;38.0;93.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;True;47,5
São Domingos, Santarém;300.000;3.0;3.0;241.0;241.0;2.0;;Not available;True;False;False;False;False;48,3
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;199.000;3.0;;;;;;Not available;True;False;True;True;False;44,9
Matosinhos e Leça da Palmeira, Porto;198.000;1.0;1.0;47.0;47.0;;;Not available;True;False;True;True;True;47,5
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;160.000;0.0;1.0;;;;;Not available;True;False;True;True;True;47
Oliveira do Douro, Porto;289.000;3.0;2.0;113.0;148.0;;;Not available;True;False;True;True;True;47
Montijo e Afonsoeiro, Setúbal;200.000;3.0;1.0;76.0;92.0;;;Not available;True;False;True;True;False;42,6
Mina de Água, Lisboa;175.000;1.0;1.0;47.0;54.0;;;Not available;True;True;True;True;False;44,8
Caldas da Rainha, Caldas da Rainha;430.000;3.0;2.0;115.0;176.0;2.0;2.0;Energy Performance Certificate;False;False;False;False;False;48,4
Algés, Oeiras;Under Consultation;4.0;4.0;142.0;182.0;2.0;8.0;Not available;True;False;False;False;False;46,5
S.Cosme, Gondomar;172.000;2.0;2.0;93.0;103.0;1.0;4.0;Energy Performance Certificate;False;False;True;False;False;47,1
Baguim do Monte - Igreja, Gondomar;175.000;2.0;1.0;77.0;96.0;1.0;3.0;Energy Performance Certificate;False;False;True;False;False;47,1
Torre da Marinha, Seixal;165.000;2.0;1.0;81.0;102.0;;;Not available;True;False;False;False;False;44,9
Damaia de Cima, Amadora;200.000;2.0;2.0;65.0;75.0;;;Not available;True;False;True;True;False;44,1
Matosinhos Sul, Matosinhos;295.000;1.0;1.0;46.0;;;;Not available;True;False;True;False;False;47,5
Gueifães, Maia, Maia;257.000;2.0;2.0;107.0;;;;Not available;True;False;False;False;False;45,5
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;145.000;2.0;2.0;96.0;96.0;2.0;1.0;Not available;True;False;False;True;False;44,4
Santo Tirso, Santo Tirso;495.000;4.0;4.0;231.0;231.0;2.0;5.0;Not available;True;False;False;False;False;49,5
Estrela, Lisboa;599.000;1.0;2.0;134.0;134.0;;;Not available;True;True;True;True;False;44,8
PER2 - Carvalhos, Vila Nova de Gaia;155.000;1.0;1.0;40.0;60.0;1.0;1.0;Not available;True;False;True;True;False;46,8
Tavira (Santa Maria e Santiago), Faro;290.000;2.0;2.0;75.0;83.0;;;Not available;True;False;False;False;True;45,7
Parque das Nações, Lisboa;325.000;2.0;1.0;67.0;67.0;;;Not available;True;True;True;True;False;44,8
Alfena, Porto;240.000;3.0;2.0;119.0;166.0;2.0;3.0;Energy Performance Certificate;False;False;True;True;True;47
Parque das Nações, Lisboa;320.000;2.0;1.0;67.0;67.0;;;Not available;True;True;True;True;False;44,8
Meadela, Viana do Castelo;220.000;3.0;2.0;97.0;97.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;True;48,8
Parque das Nações, Lisboa;295.000;1.0;1.0;60.0;67.0;;;Not available;True;True;True;True;False;44,8
Amora, Setúbal;160.000;2.0;1.0;74.0;74.0;;;Not available;True;False;True;True;False;46,6
Parque das Nações, Lisboa;315.000;2.0;;;;;;Not available;True;True;True;True;False;44,8
Marrazes e Barosa, Leiria;230.000;3.0;2.0;102.0;114.0;1.0;4.0;Energy Performance Certificate;False;False;False;False;False;46,4
Parque das Nações, Lisboa;225.000;1.0;2.0;47.0;47.0;;;Not available;True;True;True;True;False;44,8
Corroios, Setúbal;198.500;2.0;1.0;;;;;Not available;True;False;True;True;False;46,6
Arroios, Lisboa;216.000;2.0;1.0;43.0;45.0;;;Not available;True;True;True;True;False;44,8
Urb. Colinas do Cruzeiro, Odivelas;355.000;2.0;2.0;100.0;100.0;2.0;3.0;Not available;False;False;False;False;False;43,7
Marco, Porto;252.000;3.0;2.0;149.0;149.0;1.0;2.0;Not available;True;False;True;True;True;47
Marco, Porto;189.000;2.0;2.0;;;1.0;2.0;Not available;True;False;True;True;True;47
Marco, Porto;189.000;2.0;2.0;92.0;92.0;1.0;1.0;Not available;True;False;True;True;True;47
Marco, Porto;179.000;2.0;2.0;92.0;92.0;1.0;0.0;Not available;True;False;True;True;True;47
Parque das Nações - Expo Sul, Lisboa;850.000;3.0;3.0;182.0;182.0;2.0;3.0;Energy Performance Certificate;False;True;True;True;False;44,8
Almancil, Faro;310.000;3.0;2.0;121.0;157.0;2.0;3.0;Energy Performance Certificate;False;False;False;False;True;45,7
Moncarapacho e Fuseta, Faro;795.000;2.0;2.0;104.0;122.0;2.0;0.0;Not available;True;False;False;False;True;45,7
Pinheiro da Bemposta, Oliveira de Azeméis;200.000;3.0;2.0;108.0;130.0;1.0;0.0;Not available;True;False;False;False;False;48,5
Lamego (Almacave e Sé), Viseu;Under Consultation;2.0;3.0;101.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;2.0;3.0;90.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;155.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;148.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;154.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;146.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;3.0;3.0;156.0;;;;Not available;True;False;False;False;False;51,5
Lamego (Almacave e Sé), Viseu;Under Consultation;1.0;1.0;52.0;;;;Not available;True;False;False;False;False;51,5
Bonfim, Porto;145.000;1.0;1.0;33.0;33.0;;;Not available;True;False;True;True;True;47
Sátão, Sátão;47.000;3.0;2.0;143.0;149.0;;;Not available;True;False;False;False;False;52,1
Avenidas Novas, Lisboa;305.000;3.0;1.0;85.0;94.0;;;Not available;True;True;True;True;False;44,8
Gaeiras, Óbidos;199.000;3.0;2.0;101.0;144.0;2.0;2.0;Not available;True;False;False;False;True;48,9
Caparica e Trafaria, Setúbal;203.000;2.0;1.0;70.0;73.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;False;46,6
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;318.000;3.0;1.0;116.0;116.0;;;Not available;True;True;True;True;False;44,8
Funchal (Sé), Ilha da Madeira;680.000;3.0;3.0;;;;;Not available;True;False;False;True;False;48
Olivais, Lisboa;269.000;3.0;1.0;85.0;85.0;;;Not available;True;True;True;True;False;44,8
Alverca do Ribatejo e Sobralinho, Lisboa;167.500;2.0;1.0;66.0;78.0;;;Not available;True;True;True;True;False;44,8
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;220.000;3.0;2.0;130.0;130.0;1.0;;Not available;True;False;False;False;True;55,4
Miraflores, Oeiras;575.000;3.0;2.0;143.0;143.0;2.0;1.0;Energy Performance Certificate;False;False;False;False;False;51,2
Vale de Estacas, Santarém;230.000;3.0;2.0;111.0;111.0;;;Not available;True;False;False;False;False;48,3
Santa Catarina, Porto;125.000;1.0;2.0;62.0;88.0;;;Not available;True;False;True;True;True;47
Alhos Vedros, Setúbal;188.000;3.0;2.0;88.0;102.0;;;Not available;True;False;True;True;False;46,6
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;420.000;2.0;2.0;91.0;102.0;1.0;12.0;Energy Performance Certificate;False;True;True;True;False;44,8
Odivelas, Lisboa;Under Consultation;2.0;1.0;75.0;83.0;;;Not available;True;True;True;True;False;44,8
Parque das Nações - Expo Norte, Lisboa;575.000;2.0;2.0;143.0;143.0;2.0;7.0;Not available;True;True;True;True;False;44,8
Meadela, Viana do Castelo;270.000;3.0;2.0;134.0;134.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;True;48,8
Carcavelos e Parede, Lisboa;225.000;2.0;1.0;80.0;142.0;;;Not available;True;True;True;True;False;44,8
Massamá e Monte Abraão, Lisboa;239.900;3.0;2.0;86.0;102.0;;;Not available;True;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;1.250.000;3.0;3.0;117.0;130.0;1.0;6.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;1.220.000;3.0;3.0;117.0;130.0;1.0;6.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;820.000;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;810.000;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;800.000;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;790.000;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;790.000;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;780.000;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;780.000;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;770.000;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;770.000;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;760.000;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;665.000;2.0;2.0;88.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;False;44,8
Carcavelos e Parede, Lisboa;675.000;2.0;2.0;94.0;210.0;1.0;0.0;Energy Performance Certificate;False;True;True;True;False;44,8
Feira Nova, Amares;170.000;3.0;3.0;183.0;190.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;False;46
Praia da Rocha, Portimão;Under Consultation;1.0;1.0;44.0;52.0;;;Not available;True;False;False;False;True;45,5
Olivais Sul, Lisboa;370.000;4.0;2.0;124.0;124.0;1.0;1.0;Energy Performance Certificate;False;True;True;True;False;44,8
São Félix da Marinha, Vila Nova de Gaia;Under Consultation;2.0;2.0;100.0;104.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;False;46,8
Monte Gordo, Vila Real de Santo António;220.000;1.0;1.0;33.0;40.0;;;Not available;True;False;False;False;False;48,5
Serralves, Porto;245.000;1.0;2.0;82.0;111.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47
Valongo, Porto;138.500;1.0;1.0;59.0;75.0;1.0;0.0;Energy Performance Certificate;False;False;True;True;True;47
Monte Gordo, Vila Real de Santo António;270.000;1.0;1.0;40.0;50.0;;;Not available;True;False;False;False;False;48,5
Sto. Ant. Charneca / Cidade Sol, Barreiro;153.000;2.0;1.0;68.0;72.0;;;Not available;True;False;False;False;False;47
Montijo e Afonsoeiro, Setúbal;345.000;3.0;2.0;100.0;123.0;1.0;1.0;Energy Performance Certificate;False;False;True;True;False;42,6
Montijo e Afonsoeiro, Setúbal;345.000;3.0;2.0;100.0;123.0;;;Not available;True;False;True;True;False;42,6
Nacional 1, Santa Maria da Feira;162.000;3.0;2.0;125.0;125.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;False;47,1
Montijo e Afonsoeiro, Setúbal;350.000;3.0;2.0;100.0;123.0;;;Not available;True;False;True;True;False;42,6
Montijo e Afonsoeiro, Setúbal;350.000;3.0;2.0;100.0;123.0;;;Not available;True;False;True;True;False;42,6
Damaia de Cima, Amadora;169.000;2.0;1.0;67.0;70.0;;;Not available;True;False;True;True;False;44,1
Marinha Grande, Leiria;165.000;3.0;2.0;95.0;127.0;1.0;1.0;Not available;True;False;False;False;False;46,4
Montijo e Afonsoeiro, Setúbal;355.000;3.0;2.0;100.0;123.0;;;Not available;True;False;True;True;False;42,6
Venteira, Lisboa;385.000;3.0;2.0;130.0;155.0;2.0;1.0;Not available;False;True;True;True;False;44,8
Vila do Conde, Porto;415.000;3.0;3.0;135.0;135.0;1.0;3.0;Not available;True;False;True;True;True;47
Praia da Rocha, Portimão;170.000;1.0;1.0;41.0;46.0;;;Not available;True;False;False;False;True;45,5
Montijo e Afonsoeiro, Setúbal;355.000;3.0;2.0;100.0;123.0;;;Not available;True;False;True;True;False;42,6
Campo de Ourique, Lisboa;690.000;3.0;3.0;107.0;114.0;;;Not available;True;True;True;True;False;44,8
Amial, Porto;200.000;1.0;1.0;63.0;63.0;1.0;4.0;Energy Performance Certificate;False;False;True;True;True;47
Tortosendo, Castelo Branco;88.000;3.0;1.0;116.0;155.0;;;Not available;True;False;False;False;False;50,5
Bairro dos Actores, Lisboa;270.000;3.0;1.0;71.0;90.0;;;Not available;True;True;True;True;False;44,8
Feijó, Almada;255.000;1.0;1.0;71.0;92.0;1.0;3.0;Not available;False;False;True;False;False;46,3
Marco, Porto;158.000;1.0;1.0;90.0;90.0;1.0;0.0;Not available;True;False;True;True;True;47
Vilar de Andorinho, Vila Nova de Gaia;128.000;1.0;1.0;57.0;68.0;;;Not available;True;False;True;True;False;46,8
Conde I, Sesimbra;160.000;1.0;1.0;61.0;61.0;;;Not available;True;False;False;False;True;44,8
Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;138.000;3.0;2.0;123.0;123.0;;;Not available;True;False;False;False;True;51,4
Cascais e Estoril, Lisboa;275.000;1.0;1.0;41.0;52.0;;;Not available;True;True;True;True;True;46,9
Paçô, Viana do Castelo;167.000;2.0;2.0;89.0;89.0;1.0;;Not available;True;False;False;False;True;48,8
Lagoa e Carvoeiro, Faro;290.000;2.0;1.0;85.0;85.0;;;Not available;True;False;False;False;True;45,7
Pedra Mourinha, Portimão;159.000;2.0;1.0;64.0;83.0;;;Not available;True;False;False;False;True;45,5
Santa Maria Maior, Vila Real;229.900;3.0;3.0;128.0;136.0;2.0;4.0;Energy Performance Certificate;False;False;False;False;False;48,5
Peniche, Peniche;275.000;2.0;1.0;67.0;100.0;;;Not available;True;False;False;False;True;47,9
Monte Gordo, Vila Real de Santo António;249.000;2.0;2.0;60.0;67.0;;;Not available;True;False;False;False;False;48,5
Venteira, Amadora;160.000;3.0;1.0;72.0;84.0;;;Not available;True;False;True;True;False;44,1
Venteira, Amadora;160.000;3.0;1.0;72.0;77.0;;;Not available;True;False;True;True;False;44,1
Venteira, Amadora;160.000;3.0;1.0;65.0;72.0;;;Not available;True;False;True;True;False;44,1
Loures, Loures;249.000;1.0;1.0;71.0;86.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;False;44,6
Buarcos e São Julião, Coimbra;205.000;3.0;2.0;91.0;120.0;1.0;1.0;Not available;True;False;False;True;False;48,3
Venteira, Amadora;160.000;3.0;1.0;74.0;83.0;;;Not available;True;False;True;True;False;44,1
Matosinhos Sul, Matosinhos;485.000;1.0;1.0;98.0;118.0;1.0;0.0;Energy Performance Certificate;False;False;True;False;False;47,5
Campo de Ourique, Lisboa;415.000;2.0;1.0;72.0;79.0;;;Not available;True;True;True;True;False;44,8
Santa Maria Maior, Lisboa;199.000;0.0;1.0;30.0;32.0;;;Not available;True;True;True;True;False;44,8
Ajuda, Lisboa;320.000;1.0;1.0;48.0;61.0;;;Not available;True;True;True;True;False;44,8
Baguim do Monte - Igreja, Gondomar;180.000;2.0;1.0;89.0;101.0;1.0;3.0;Energy Performance Certificate;False;False;True;False;False;47,1
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;193.000;3.0;2.0;106.0;129.0;2.0;1.0;Not available;True;False;False;False;True;48,5
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;314.900;3.0;2.0;95.0;110.0;;;Not available;True;False;True;True;False;46,3
Fluvial, Porto;335.000;3.0;2.0;87.0;99.0;0.0;5.0;Energy Performance Certificate;False;False;True;True;True;47
Ramalha/Centro Sul, Almada;329.000;3.0;2.0;80.0;89.0;1.0;3.0;Energy Performance Certificate;False;False;True;False;False;46,3
Peniche, Peniche;195.000;2.0;1.0;74.0;103.0;;;Not available;True;False;False;False;True;47,9
CARRIÇO, Pombal;175.000;3.0;2.0;147.0;204.0;2.0;3.0;Not available;True;False;False;False;False;50,6
Canidelo, Porto;619.000;2.0;2.0;98.0;152.0;2.0;4.0;Energy Performance Certificate;False;False;True;True;True;47
Santo António dos Cavaleiros e Frielas, Lisboa;255.000;;;;;;7.0;Not available;False;True;True;True;False;44,8
Gulpilhares e Valadares, Porto;175.000;3.0;2.0;103.0;103.0;1.0;2.0;Not available;True;False;True;True;True;47
S.Cosme, Gondomar;125.000;1.0;1.0;60.0;65.0;;;Not available;True;False;True;False;False;47,1
Consolação, Peniche;270.000;2.0;1.0;72.0;114.0;1.0;1.0;Energy Performance Certificate;False;False;False;False;True;47,9
S.Cosme, Gondomar;135.000;2.0;1.0;70.0;80.0;;;Not available;True;False;True;False;False;47,1
Laranjeiro, Almada;198.000;3.0;2.0;89.0;100.0;;;Not available;True;False;True;False;False;46,3
Santa Marinha e São Pedro da Afurada, Porto;469.000;3.0;3.0;120.0;127.0;2.0;8.0;Energy Performance Certificate;False;False;True;True;True;47
Braga (São Vítor), Braga;158.000;2.0;2.0;97.0;98.0;0.0;2.0;Not available;True;False;False;True;False;44,4
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;209.000;2.0;1.0;85.0;85.0;;;Not available;True;False;True;True;False;46,6
A dos Cunhados e Maceira, Lisboa;240.000;2.0;1.0;85.0;104.0;2.0;0.0;Not available;True;True;True;True;False;44,8
Praia, Póvoa de Varzim;359.000;3.0;2.0;114.0;114.0;1.0;6.0;Energy Performance Certificate;False;False;True;False;False;45,8
Amparo, Funchal;230.000;2.0;1.0;67.0;103.0;1.0;3.0;Energy Performance Certificate;False;False;False;True;False;48
Canidelo, Porto;229.000;3.0;2.0;119.0;119.0;1.0;5.0;Not available;True;False;True;True;True;47
Covilhã e Canhoso, Castelo Branco;110.000;3.0;2.0;95.0;;;;Not available;True;False;False;False;False;50,5
São Carlos, Sintra;170.000;3.0;2.0;76.0;96.0;;;Not available;True;False;False;False;False;43,7
Vila Nova de Famalicão e Calendário, Braga;227.500;2.0;2.0;80.0;80.0;1.0;3.0;Not available;True;False;False;True;False;44,4
Quinta da Cavaleira, Sintra;270.000;2.0;;;;;;Not available;True;False;False;False;False;43,7
Praça Rainha D. Amélia, Porto;265.500;3.0;2.0;77.0;77.0;;;Not available;True;False;True;True;True;47
Praça Rainha D. Amélia, Porto;245.500;3.0;2.0;74.0;74.0;;;Not available;True;False;True;True;True;47
Santos, Lisboa, Lisboa;Under Consultation;2.0;1.0;36.0;36.0;;;Not available;True;True;True;True;False;44,8
Parada de Cunhos, Vila Real;180.000;3.0;2.0;96.0;107.0;1.0;0.0;Not available;True;False;False;False;False;48,5
Antas, Porto;190.000;1.0;1.0;63.0;63.0;;;Not available;True;False;True;True;True;47
Conceição, Faro;280.000;4.0;3.0;95.0;;;;Not available;True;False;False;False;True;45,7
Guarda, Guarda;180.000;2.0;2.0;90.0;108.0;3.0;0.0;Energy Performance Certificate;False;False;False;False;False;49,6
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;280.000;2.0;1.0;73.0;80.0;;;Not available;True;True;True;True;False;44,8
Vilar de Andorinho, Porto;165.000;2.0;1.0;93.0;108.0;;;Not available;True;False;True;True;True;47
Quarteira, Faro;262.500;2.0;1.0;100.0;97.0;1.0;1.0;Not available;True;False;False;False;True;45,7
Castanheira do Ribatejo e Cachoeiras, Lisboa;164.900;3.0;2.0;105.0;112.0;0.0;4.0;Energy Performance Certificate;False;True;True;True;False;44,8
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;352.000;3.0;2.0;95.0;120.0;;;Not available;True;True;True;True;False;44,8
Madredeus, Lisboa;275.000;2.0;1.0;95.0;95.0;;;Not available;True;True;True;True;False;44,8
São Cosme Zona 1, Gondomar;152.500;2.0;1.0;88.0;88.0;0.0;1.0;Not available;True;False;True;False;False;47,1
Nossa Senhora da Piedade, Santarém;241.000;4.0;3.0;217.0;117.0;2.0;3.0;Not available;False;False;False;False;False;48,3
Malveira, Mafra;265.000;2.0;1.0;106.0;134.0;1.0;2.0;Energy Performance Certificate;False;False;False;False;False;43,8
Cascais e Estoril, Lisboa;80.000;0.0;1.0;42.0;44.0;;;Not available;True;True;True;True;True;46,9
Chã, Figueira da Foz;295.000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50,9
Chã, Figueira da Foz;290.000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;False;False;True;50,9
Palmela, Setúbal;185.000;2.0;1.0;80.0;94.0;;;Not available;True;False;True;True;False;45,3
Chã, Figueira da Foz;285.000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50,9
Chã, Figueira da Foz;280.000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;False;False;True;50,9
Chã, Figueira da Foz;285.000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50,9
Chã, Figueira da Foz;265.000;3.0;2.0;119.0;119.0;1.0;;Not available;True;False;False;False;True;50,9
Campo e Sobrado, Porto;165.000;2.0;1.0;96.0;112.0;1.0;3.0;Energy Performance Certificate;False;False;True;True;True;47
Chã, Figueira da Foz;275.000;3.0;2.0;123.0;123.0;1.0;;Not available;True;False;False;False;True;50,9
São Brás de Alportel, Faro;230.000;3.0;2.0;85.0;94.0;;;Not available;True;False;False;False;True;45,7
Shopping, Vila Real;350.000;4.0;3.0;117.0;138.0;2.0;2.0;Energy Performance Certificate;False;False;False;False;False;48,5
Nova Palmela, Palmela;133.000;2.0;1.0;66.0;77.0;;;Not available;True;False;False;False;False;45,3
Faro (Sé e São Pedro), Faro;110.000;2.0;1.0;;;;;Not available;True;False;False;False;True;45,7
Chã, Figueira da Foz;270.000;3.0;2.0;119.0;119.0;1.0;0.0;Energy Performance Certificate;False;False;False;False;True;50,9
Oliveira do Douro, Porto;165.000;1.0;1.0;66.0;71.0;1.0;3.0;Not available;True;False;True;True;True;47
Mina de Água, Lisboa;235.000;2.0;1.0;66.0;77.0;;;Not available;True;True;True;True;False;44,8
Falagueira-Venda Nova, Lisboa;195.000;1.0;1.0;46.0;63.0;;;Not available;True;True;True;True;False;44,8
Mina, Amadora;169.000;0.0;1.0;35.0;43.0;;;Not available;True;False;True;True;False;44,1
Ericeira, Lisboa;590.000;3.0;2.0;124.0;150.0;1.0;2.0;Energy Performance Certificate;False;True;True;True;True;44,8
Sines, Setúbal;250.000;3.0;2.0;110.0;110.0;;;Not available;True;False;True;True;False;46,6
Calhariz de Benfica - Laranjeiras, Lisboa;435.000;3.0;2.0;85.0;87.0;;;Not available;True;True;True;True;False;44,8
Vilamoura, Loulé;500.000;2.0;1.0;92.0;92.0;1.0;1.0;Not available;True;False;False;False;False;46,9
